Einheit,artikel,Wort in Deutsch,Wort in Englisch
1,,treffen,to meet
1,,sammeln,to collect
1,s,Gesprach,conversationn
1,,Üben,To practice
1,e,Übung,Practice
1,,bestellen,to order
1,,bezahlen,to pay
1,,zahlen,to pay
1,,zählen,to count
1,e,Zahl ,Number
1,e,Zahlen,Numbers
1,r,Saft,Juice
1,r,Dialog,Dialogue
1,,an|kreuzen,to cross out
1,r,Gewinner,Winner/Champion
1,e,Tasse,Cup
1,e,Tasche,Bag
1,,verbinden,to connect
1,,zusammen,together
1,,Getrennt,separate
2,,wiederholen,to repeat/revise
2,,an|schreiben,to write down
2,r,Radiergummi,eraser
2,s,Heft,notebook
2,s,Wörterbuch,disctionary
2,r,Kuli,Ball pen
2,r,Füller,Founten pen
2,r,Spitzer,Sharpner
2,r,Bleistift,Pencil
2,e,Kreide,Chalk
2,e,Tafel,Board
2,r,Schwamm,Duster
2,s,Papier,paper
2,s,Blatt,paper
2,r,Tisch,table
2,r,Stuhl,stool
2,r,CD Player,CD player
2,e,Lampe,Lamp
2,s,Kursbuch,Course book
2,e,Tasche,bag
2,s,Lernplakat,learning poster
2,r,Fernseher,TV
2,s,Handy,cell phone
2,r,Overheadprojektor,overhead projcetor
2,e,Klimaanlage,Air conditioner
2,r,Lüfter,fan
2,r,Fan,fan
2,r,Schalter,switch 
2,e,Schalttafel,switchboard
2,,signalieren,to signal
2,,nach|fragen,to ask about/inquire
2,e,Verneinung,Negation
2,,zeichnen,to draw
2,,raten,to advice
2,r,Baum,tree
2,r,Fenster,window
2,e,Tür,door
2,,draußen,outside
2,,rein,inside
2,,bleiben,to stay
2,,äußern,to express
2,r,Koffer,Suitcase
2,r,Teilnehmer,Participant
2,,teil|nehmen,to participate
2,r,Leiter,leader
2,r,Führer,leader
2,e,Anweisung,Instruction
2,,langsam,slow
2,,schnell,fast
2,,erklären,to explain
2,e,Kultur,culture
2,e,Heimat,home land
2,s,Land,country
2,s,Wort,word
2,r,Gegenstand,thing/item
2,s,Ding,thing/item
2,e,Werbung,general advertisement
2,e,Anzeige,specific advertisement
2,,ein|schalten,to connect
2,,aus|schalten,to disconnect
2,,an|machen,to light
2,,aus|machen,to extinguish
2,e,Arbeit,Work
2,e,Volkhochschule,community college
2,,verheiraten,to marry
2,e,Chemie,chemistry
2,e,Biologie,biologie
2,r,Löwe,Lion
2,e,Farbe,color
2,,verbinden,to connect
2,e,Geschichte,Story/history
2,,aus|danken,to make something up
2,r,Anzug,Suitcase
2,e,Krawatt,Tie
3,r,Gruß,greeting
3,e/(pl),Grüße,greetings
3,e/(pl),Sehenswürdigkeiten,sceneries
3,,kennen,to know
3,e,Karte,card
3,,ergänzen,to complete
3,,woruber,about what
3,e,Person,person
3,,an|kreuzen,to cross out/to select
3,,an|geben,to state
3,e,Lage,location/situation/condition
3,s,Präteritum,past
3,s,Präsens,present
3,e,Zukunft,future
3,,fragen,to ask  
3,,antworten,to answer
3,e,Postkarte,postcard
3,,zeigen,to show
3,,zeihen,to pull/migrate
3,,achten,to pay attention to
3,s,Treffen ,The meeting
3,,treffen,to meet
3,r,Dialog,Dialogue
3,,schon mal,already once
3,r,Unterschied,difference
3,,über,To practice/exercise
3,,gestern,yesterday
3,,heute,today
3,,jetzt,now
3,e,Landkarte,map
3,,liegen,to lie
3,,genau,exactly
3,,kennen|lernen,to get to know
